poll,date,fav,unfav,spread
RCP Average,9/15 - 10/26,42.5,51.0,-8.5
Economist/YouGovYouGov,10/24 - 10/26,43.0,50.0,-7
Politico/Morning ConsultPolitico,10/22 - 10/24,42.0,50.0,-8
FOX NewsFOX News,10/16 - 10/19,44.0,54.0,-10
Economist/YouGovYouGov,10/16 - 10/19,42.0,53.0,-11
Politico/Morning ConsultPolitico,10/16 - 10/18,42.0,50.0,-8
Economist/YouGovYouGov,10/9 - 10/12,42.0,51.0,-9
Politico/Morning ConsultPolitico,10/8 - 10/11,45.0,49.0,-4
Economist/YouGovYouGov,10/3 - 10/5,43.0,50.0,-7
Politico/Morning ConsultPolitico,10/2 - 10/4,42.0,50.0,-8
Economist/YouGovYouGov,9/26 - 9/28,43.0,52.0,-9
Politico/Morning ConsultPolitico,9/24 - 9/27,44.0,48.0,-4
Economist/YouGovYouGov,9/18 - 9/21,44.0,50.0,-6
Politico/Morning ConsultPolitico,9/18 - 9/20,43.0,49.0,-6
Harvard-HarrisHarris,9/15 - 9/16,41.0,50.0,-9
Economist/YouGovYouGov,9/12 - 9/14,44.0,50.0,-6
Economist/YouGovYouGov,9/4 - 9/7,43.0,53.0,-10
Economist/YouGovYouGov,8/28 - 8/31,43.0,49.0,-6
Politico/Morning ConsultPolitico,8/28 - 8/30,46.0,48.0,-2
Economist/YouGovYouGov,8/21 - 8/24,43.0,51.0,-8
Politico/Morning ConsultPolitico,8/21 - 8/24,43.0,49.0,-6
USA Today/SuffolkUSA Today,8/19 - 8/23,35.0,54.0,-19
NBC News/Wall St. JrnlNBC/WSJ,8/14 - 8/17,37.0,46.0,-9
Economist/YouGovYouGov,8/14 - 8/17,45.0,49.0,-4
Politico/Morning ConsultPolitico,8/13 - 8/16,45.0,47.0,-2
FOX NewsFOX News,8/7 - 8/10,45.0,51.0,-6
Economist/YouGovYouGov,8/7 - 8/10,46.0,48.0,-2
Politico/Morning ConsultPolitico,8/7 - 8/9,45.0,49.0,-4
Economist/YouGovYouGov,7/31 - 8/3,46.0,49.0,-3
Politico/Morning ConsultPolitico,7/31 - 8/2,44.0,48.0,-4
Harvard-HarrisHarris,7/28 - 7/29,45.0,45.0,0
Economist/YouGovYouGov,7/24 - 7/27,46.0,48.0,-2
Politico/Morning ConsultPolitico,7/23 - 7/26,46.0,47.0,-1
Economist/YouGovYouGov,7/17 - 7/20,45.0,49.0,-4
Politico/Morning ConsultPolitico,7/16 - 7/18,45.0,47.0,-2
Economist/YouGovYouGov,7/10 - 7/13,46.0,48.0,-2
Politico/Morning ConsultPolitico,7/9 - 7/12,47.0,47.0,0
Economist/YouGovYouGov,7/3 - 7/6,44.0,50.0,-6
Economist/YouGovYouGov,6/26 - 6/29,44.0,51.0,-7
Politico/Morning ConsultPolitico,6/25 - 6/28,46.0,46.0,0
Economist/YouGovYouGov,6/20 - 6/22,48.0,47.0,+1
Politico/Morning ConsultPolitico,6/18 - 6/20,45.0,47.0,-2
Harvard-HarrisHarris,6/15 - 6/17,43.0,43.0,0
Economist/YouGovYouGov,6/13 - 6/15,45.0,48.0,-3
Politico/Morning ConsultPolitico,6/11 - 6/13,46.0,46.0,0
Economist/YouGovYouGov,6/6 - 6/8,49.0,43.0,+6
Economist/YouGovYouGov,5/29 - 6/1,47.0,46.0,+1
Economist/YouGovYouGov,5/22 - 5/25,49.0,48.0,+1
Politico/Morning ConsultPolitico,5/21 - 5/24,48.0,42.0,+6
Harvard-HarrisHarris,5/19 - 5/20,50.0,42.0,+8
Economist/YouGovYouGov,5/15 - 5/18,47.0,46.0,+1
Politico/Morning ConsultPolitico,5/14 - 5/17,48.0,44.0,+4
Economist/YouGovYouGov,5/8 - 5/11,48.0,47.0,+1
Economist/YouGovYouGov,5/1 - 5/4,44.0,50.0,-6
Politico/Morning ConsultPolitico,4/30 - 5/3,50.0,41.0,+9
Harvard-HarrisHarris,4/27 - 4/29,50.0,40.0,+10
Economist/YouGovYouGov,4/25 - 4/27,47.0,46.0,+1
Politico/Morning ConsultPolitico,4/24 - 4/26,52.0,41.0,+11
FOX NewsFOX News,4/18 - 4/21,49.0,46.0,+3
Economist/YouGovYouGov,4/17 - 4/20,47.0,48.0,-1
Economist/YouGovYouGov,4/10 - 4/13,47.0,48.0,-1
Politico/Morning ConsultPolitico,4/9 - 4/12,51.0,40.0,+11
Economist/YouGovYouGov,4/3 - 4/6,48.0,47.0,+1
Politico/Morning ConsultPolitico,4/2 - 4/4,53.0,39.0,+14
Economist/YouGovYouGov,3/27 - 3/30,48.0,46.0,+2
Politico/Morning ConsultPolitico,3/26 - 3/29,52.0,41.0,+11
Harvard-HarrisHarris,3/24 - 3/25,50.0,42.0,+8
Politico/Morning ConsultPolitico,3/19 - 3/22,50.0,40.0,+10
Economist/YouGovYouGov,3/20 - 3/23,44.0,50.0,-6
Economist/YouGovYouGov,3/13 - 3/17,50.0,45.0,+5
Politico/Morning ConsultPolitico,3/12 - 3/15,54.0,37.0,+17
